City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Mitsamiouli,KM,82.04,broken clouds,-11.3847,43.2844,Foyer ADM
339,Iskateley,RU,9.0,overcast clouds,67.6803,53.1512,Hostel Agat
341,Oktyabrskoye,RU,48.34,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
343,Kontagora,NG,82.83,light rain,10.3999,5.4695,Queens Guest Inn
344,Dhilwan,IN,73.85,clear sky,31.5169,75.35,Janj Ghar
345,Rio Verde De Mato Grosso,BR,72.75,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
346,Khuzdar,PK,71.31,scattered clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
347,Khor,RU,42.51,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
348,Upata,VE,80.62,overcast clouds,8.0086,-62.3989,Posada Villa Nela
349,Catuday,PH,79.07,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
350,Danielskuil,ZA,58.41,overcast clouds,-28.1887,23.5395,Botha'Sig Gastehuis
352,Nongstoin,IN,65.08,overcast clouds,25.5167,91.2667,P.W.D. Inspection Bungalow
353,Kharan,PK,79.21,clear sky,28.5833,65.4167,Dil Aram Bangla
354,Shaunavon,CA,25.0,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
355,Sur,OM,88.48,few clouds,22.5667,59.5289,Sur Plaza Hotel
356,Lucelia,BR,65.53,clear sky,-21.7203,-51.0189,Casa da nathy
